finish_year,total,winter
1925,3,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,1,0
1934,0,0
1935,1,0
1936,2,0
1937,6,0
1938,1,0
1939,3,0
1940,9,0
1941,3,0
1942,2,0
1943,0,0
1944,0,0
1945,1,0
1946,15,0
1947,7,0
1948,15,0
1949,10,0
1950,9,0
1951,1,0
1952,2,0
1953,2,0
1954,0,0
1955,12,0
1956,14,0
1957,19,0
1958,19,0
1959,24,0
1960,15,0
1961,24,0
1962,30,1
1963,29,1
1964,32,0
1965,36,0
1966,53,0
1967,65,0
1968,61,1
1969,71,3
1970,83,1
1971,103,3
1972,95,2
1973,135,2
1974,167,0
1975,133,0
1976,123,4
1977,54,0
1978,69,2
1979,65,4
1980,73,2
1981,78,0
1982,101,6
1983,117,8
1984,118,4
1985,126,4
1986,122,4
1987,140,4
1988,118,4
1989,141,9
1990,154,9
1991,173,18
1992,160,15
1993,182,2
1994,199,10
1995,271,15
1996,213,17
1997,199,19
1998,211,20
1999,185,17
2000,134,21
2001,180,17
2002,229,16
2003,174,13
2004,230,21
2005,220,29
2006,222,31
2007,253,17
2008,183,32
2009,305,45
2010,334,31
2011,327,41
2012,465,76
2013,452,55
2014,536,48
2015,594,54
2016,677,55
2017,708,36
2018,631,46
