start year,Marcy,Skylight,Colden,Haystack,Allen,Whiteface
1940,0.0,0.036,0.0,0.0,0.107,0.0
1945,0.0,0.0,0.0,0.0,0.056,0.0
1950,0.0,0.0,0.018,0.0,0.143,0.036
1955,0.0,0.0,0.0,0.0,0.115,0.0
1960,0.011,0.033,0.0,0.0,0.132,0.077
1965,0.0,0.007,0.033,0.013,0.079,0.046
1970,0.018,0.009,0.018,0.012,0.126,0.027
1975,0.005,0.006,0.03,0.033,0.144,0.043
1980,0.016,0.003,0.026,0.036,0.138,0.023
1985,0.03,0.015,0.043,0.07,0.109,0.065
1990,0.015,0.027,0.03,0.062,0.095,0.095
1995,0.026,0.019,0.037,0.083,0.093,0.129
2000,0.027,0.035,0.044,0.061,0.113,0.135
2005,0.049,0.049,0.045,0.078,0.097,0.158
2010,0.05,0.059,0.037,0.088,0.076,0.145
2015,0.052,0.057,0.053,0.081,0.072,0.135
