start year,Wright,Phelps,Giant,Algonquin,Marcy,Cascade
1930,0.0,0.018,0.125,0.089,0.375,0.054
1935,0.0,0.0,0.045,0.159,0.523,0.0
1940,0.018,0.0,0.071,0.161,0.464,0.018
1945,0.0,0.0,0.213,0.085,0.34,0.064
1950,0.021,0.0,0.073,0.125,0.396,0.062
1955,0.026,0.006,0.077,0.142,0.394,0.148
1960,0.043,0.023,0.094,0.137,0.305,0.129
1965,0.049,0.026,0.051,0.128,0.303,0.173
1970,0.035,0.043,0.079,0.1,0.279,0.143
1975,0.035,0.06,0.058,0.127,0.248,0.113
1980,0.053,0.042,0.112,0.151,0.206,0.114
1985,0.044,0.069,0.093,0.16,0.171,0.156
1990,0.057,0.064,0.097,0.168,0.161,0.16
1995,0.037,0.054,0.093,0.125,0.157,0.215
2000,0.046,0.046,0.104,0.142,0.142,0.234
2005,0.047,0.036,0.09,0.114,0.133,0.273
2010,0.04,0.045,0.075,0.101,0.114,0.287
2015,0.043,0.035,0.114,0.098,0.088,0.243
